ALL INPUT IS WELCOME - THANK YOU,,,,,,
RANK,LEMMA,PoS,GERMANIC,GERMANIC-LIKE,DETAILS,
,`abstract,n,"blurb, outline, pith, rundown, siftings, winnowings, broad strokes",,[S] summary,
,`absurd,adj,"[D1|without regard for reason or reality] crazy, wild, beyond belief, far-fetched, hard to swallow, utterly unlikely, wildly out [D2|lacking in good judgement] brainless, cockeyed, harebrained, crazy, daffy, daft, half-witted, jerky, mad, nutty, sappy, silly, unwise, whacky, weak-minded, witless, dim-witted [D3|worthy of being laughed at] silly, brainless, dumb, half-witted, jerky, unwise, weak-minded, witless, cockeyed, crazy, mad, nutty, wacky, daft, daffy, far-fetched",screwball,,
,`abundance,n,"wealth, fullness, a great deal, a lot, more than enough, richness",,,
,`abundant,adj,"overflowing, full (of), swarming, teeming, rife, fraught, untold, coming thick and fast",,,
,`abundantly,adv,"freely, fully, greatly, highly, markedly, richly, thoroughly, utterly",,,
,`abuse,vb,"[D1|physically hurt or injure] beat up, harm, hose, mess up, mar, mishandle, roughhouse, rough up, twist, warp [D3|attack with words] backbite, bad-mouth, bash, belittle, berate, blow off, cuss out, dump on, pick on, put down, scold, tell off, rag on, smear, swear at, trash, upbraid, blacken, curse, run down, speak evil of [D2|use wrongly] mishandle, overburden, overwork, squander","hurt, sound off",,
,`abuse,n,"[D1|verbal attack] bad-mouthing, curse, put-down, scolding, swearing, smearing, upbraiding, backbiting, cursing, swear words [D2|wrong use] mishandling, misdeed, wrongdoing, wrecking [D3|physical hurting, injuring] harm, misdeed, manhandling, wrongdoing, mishandling, rough handling",hurt,,
,`abusive,adj,"[D1|hurtful with words] biting, cutting, shrewish, stinging, waspish",,,SAME WORDS AS ABRASIVE
,`abysmal,adj,"dreadful, woeful, worthless, wretched",,,
,`academic,adj,"[D1|relating to an academy or higher learning] learned, highbrow, thinking, well-read, wise [D2|aloof] bookish, far-away, in cloud-land, islanded from daily life",,,
,`academic,n,"thinker, bookworm, man/woman of learning, thinking man/woman",,,
,`accelerate,vb,"speed up, pick up speed, put on speed, gather speed, quicken",,[S] expedite,
,`accent,n,twang,,,
,`accept,vb,"[D1|receive something given physically] get, gain, take [D2|allow into a group] welcome, let (smn/sth) in, take on, undertake [D3|believe the goodness, realness of something] [D4|come to terms with]",,"[S] tolerate
[S|D3] trust
[S|D4] come to terms with",
,`acceptable,adj,"fair, middling, pretty good, worthy, worthwhile, worth having, sit well with smn",,,
,`acceptance,n,"belief, the go-ahead, the green light, welcome",,,
,`access,n,"door, doorway, gate, gateway, inway, open door, opening, pathway, right of way, road, way in, way through, way to",,,
,`access,vb,"get in/inside, find one's way in, work one's way into",,,
,`accessibility,n,"[D1|practicality] handiness, nearness, readiness [D2|intuitiveness] friendliness",,,MERGE 1 WITH PRACTICALITY?
,`accessible,adj,"[D1|practical] handy [D2|intuitive] friendly, hearty, neighborly, open",,,MERGE 1 WITH PRACTICAL?
,`accident,n,"mishap, misfall, setback, befalling",,,
,`accidental,adj,"unforeseen, not meant, unwitting, fluky",,,
,`accidentally,adv,"by mistake, unwittingly, unknowingly",,,
,`acclaim,vb,"think highly of, speak highly/warmly/well of",,,MERGE WITH ADMIRE?
,`accommodation,n,"[D1|a place to live temporarily] board, dwelling, home, housing, rooms [D2|the act of each side giving up something to reach an agreement] deal, understanding",,,
,`accompany,vb,"to go together, go with, go along with, walk with, be found with, be seen with, keep with, team up with, draw alongside, shadow, follow",,,
,`accomplished,adj,"clever, deft, knowing, many-sided, quick, ready, skilled, skillful",,,
,`accomplishment,n,"win, breakthrough, handiwork",,,FIX
,`accordingly,adv,"hence, so, therefore, thus",,,
,`account,n,"[D1|a relating of events] telling, tale, word-weaving, a witness to, answering for what one has done [D2|a sum of money set aside] reckoning of the money-worth of work done, reckoning of monies in and out",,,FIX DEF 2
,`account,vb,"answer for, reckon up, hold a thing to be such and such",,,THIRD TERM IS CONFUSING
,`accountant,n,bookkeeper,,[S] clerk,
,`accumulate,vb,"build up, heap up, hoard, gather, keep by one, put by",,,
,`accuracy,n,"truth, care for truth, rightness, thoroughness",,,
,`accurate,adj,"dead-on, right, true, truthful, straight, thorough, aright",,,
,`accurately,adv,"carefully, with care, heedfully, neither more nor less, on the dot, rightly, thoroughly, truly, to a hair, word for word",,,
,`accuse,vb,"smear, upbraid, brand, name, put it so smn (that)",,,
,`accustomed,adj,,,[S] used to,
,`achieve,vb,,,[S] accomplish,
,`achievement,n,,,[S] accomplishment,
,`acid,adj,"sour, sharp, tart, biting, bitter, burning, cutting, stinging, unsweetened",,,
,`acquiesce,vb,"to bow to, fall in with, go along with, go/swim with the stream/tide, put up with, say yes to, yield",,,MERGE WITH ACCEPT?
,`acquire,vb,"gather, come by, get, earn, fasten on, lay hands upon, make one's own, net, land",,,FIX WORD ORDER
,`acquisition,n,"blessing, godsend, windfall",,,FIX
,`acquit,vb,find not guilty,,,
,`act,vb,"[D1|to do something] do, drive forward, handle, make, stand in for, wield, work [D2|theatrical acting] to play a part, tread the boards, make a show of, put on, show off [D3|to pretend]",,[S|D3] pretend,
,`act,n,"deed, doings, dealings, business, handiwork, stroke, step, work, workmanship",,,
,`active,adj,"lively, busy, hard-working, quick, on one's toes, tireless, up-and-doing",,,
,`activity,n,"much ado, liveliness, quickness, readiness, sleeplessness, stir, tirelessness",,,
,`actual,adj,,,[S] real,
,`acute,adj,"sharp, bright, clever, keen-witted, nimble-witted, quick, quick-witted, ready, sharp-witted, shrewd",,,
,`adamant,adj,"stubborn, stiff-necked, gritty, hard as nails/iron/steel/stone, stiff, hard, stone-like, steely, stony, tough, bullheaded, dogged, hard-nosed, hardened, hardheaded, headstrong, pigheaded, self-willed, unbending, unyielding, set in one's ways",,,
,`adapt,vb,"bring in step with, make right, to do as others do, fall in with, go along with, go/swim with the stream/tide",,,
,`adaptable,adj,"fitting in, quick to settle in, readily at home, yielding",,,
,`addiction,n,"craving, burning, inward gnawing",,,
,`addition,n,"growth, rise, broadening, widening, lengthening, strengthening, waxing",,,
,`additional,adj,"further, other, greater, more, over and above",,[S] subsequent,
,`additionally,adv,"furthermore, what's more, further, along with, likewise, more, moreover, as well as, besides, too, to boot",,,
,`address,vb,"[D1|to transmit information or requests] speak, give a speech, give a talk, hold forth, talk to, take the floor [D2|to deal with something] take up, deal with, field, grapple (with), hack, handle, play, swing, take",,,
,`address,n,"speech, talk, set speech",,,
,"`adept, `adroit",adj,"deft, good at, handy, ready",,,
,`adequate,adj,"middling, enough, good enough, meeting the need, all right, pretty good",,"[S] sufficient, satisfactory",
,`adhere,vb,"abide by, follow, mind",,[S] comply,
,`adjacent,adj,"beside, hard by, near, near at hand, nearby, neighboring, nigh",,,
,`adjust,vb,"make right, put right, set right, straighten out",,,
,`adjustment,n,"1) a making/putting/setting right, a shift, 2) falling in with, finding one's feet, settling in",,,
,`administer,vb,"[D1|to carry out effectively] handle, look after, oversee, run, see to, steer [D2|to allocate]",,[S|D2] allocate,
,`administration,n,"1) handling, overseeing, running, steering, 2) board, headship, leaders (of a body such as a business), leadership, steersmanship, 3) stewardship (of the wealth of one who has died), 4) dealing, handling/sorting out, sharing, bestowing",,,
,`admiration,n,"liking, looking up to",,,
,`admire,vb,"think highly of, look up to, be fond of, think well of, think much of, wonder at, worship",,,
,`admirer,n,"follower, lover, worshipper",,,
,`admission,n,"1) letting in, bringing in, indraught, inflow, 2) acknowledging, coming out with, coming clean, making a clean breast of, owning, unburdening",,,
,`adopt,vb,"1) choose, settle on, take up, 2) bring into one's kindred, bring up, foster, rear, take care of, take on",,,
,`adore,vb,"to love, set one's heart on, think the world of, worship",,,
,`adult,n,"grownup, grown man, grown woman, grown to full years/riper years",,,
,`adultery,n,"guilty love, two-timing",,,
,`advance,n,"1) headway, step (toward, forward), ongoing, onwardness, 2) growth, rise, 3) loan",,[S] progress,
,`advance,vb,"to go/step forward, make good ground, make headway, 2) to do well, go up in the world, make one's way, rise in the world, 3) to lend, loan",,,
,`advanced,adj,"ahead, ahead of the times, foremost, higher, leading",,,
,`advantageous,adj,"better, good, greater, outmatching, worth having, worthwhile",,,
,`adventurous,adj,"bold, daring, fearless",,,
,`adverse,adj,"1) hard, harmful, 2) bad, threatening, unhelpful, unhopeful, untimely, 3) unfriendly, biting, withering",,,
,`adversity,n,"hardship, hard going, bitterness, ordeal, weariness, wretchedness",,,
,`advertise,vb,,,[S] promote,
,`advice,n,"help, tip, input, feedback, hint, steer, warning, word(s) of wisdom, word of warning, lowdown",,,
,`advise,vb,"to forewarn, give warning, have one know, put in to one, steer",,,
,`advisory,n,warning,,,
,`affected,adj,"smooth-tongued, overdone, put on, showing off, showy",,,
,`affection,n,"friendship, kindness, liking, warmth",,,
,`affectionate,adj,"friendly, kindly, warm, warm-hearted",,,
,`affirm,vb,"to bear witness, highlight, mean what one says, set forth, swear on oath",,,
,`afflict,vb,"1) to cut, harm, prick, stab, tear, wound, 2) to sadden, worry, harrow, sting",,,
,`affluent,adj,,,[S] rich,
,`afford,vb,"afford, have enough (for), have the means (for), swing",,[S] endure,
,`aforementioned,adj,"said, aforesaid, foregoing, forenamed",,,
,`age,vb,"get old/older, grow old/older, become old/older, go grey, ripen, get on, mellow, wither, show one's years, olden",,,
,`aged,adj,"old, timeworn",,,
,`agency,n,"1) dealership, stewardship, handling, business, undertaking, 2) 'bridge', hand, help, stepping-stone, way of doing",,,
,`agent,n,"dealer, go-between, middleman, steward",,,
,`aggravate,vb,"1) to worsen, make worse, 2) to goad, madden, nettle, upset",,,
,`aggressive,adj,"fiery, hotheaded, ready/thirsting for a fight, bold",,,
,`agile,adj,"lithe, nimble, quick, lively, light-footed, light of heel",,,S INTELLIGENT AND ACUTE
,`agility,n,nimbleness,,,
,`agitate,vb,"to goad, worry, harry, hound, shake, stir up, unsettle, upset",,,
,`agony,n,"sorrow, aching, strickenness, tearing, wringing, writhing",,,
,`agreement,n,"deal, understanding, undertaking",,,
,`aid,n,,,[S] help,
,`aid,vb,,,[S] help,
,`aim,vb,"shoot for/at, to be minded, bid for, drive at, go after, go for, go all out for, have in mind, make for, seek to, look to, mean to, work towards, put one's all/everything into",,,
,`aim,n,,,[S] purpose,
,`aimless,adj,"wandering, wayward, wind-driven",,,
,`airport,n,"landing ground, runway, flight-hub",,,
,`alarm,n,"to frighten, give one a fright, fill with fear, startle, strike with fear",,,
,`alarming,adj,"dreadful, chilling, frightening, nightmarish, numbling, startling",,,
,`alert,adj,"awake, heedful, sharp, all ears, all eyes, on the watch, quick-witted, ready",,,
,`alienate,vb,"to sunder, drive a wedge between, put one's back up, set against",,,
,`alienation,n,"bitterness, break-up, rending, setting against, sundering, unthreading",,,
,`all-embracing,adj,,,[S] all-encompassing,
,`all-encompassing,adj,"thorough, thoroughgoing, with nothing left out/missing, sweeping, far-reaching",,,
,`allegation,n,"smearing, gainsaying, bearing witness against, speaking against",,,
,`allege,vb,"smear, bear witness against, speak against, shame",,,
,"`alleged, `supposed",adj,"so-called, would-be",,,
,`alliance,n,"friendship, brotherhood, coming together, understanding",,,
,`allied,adj,"alongside, bound together, standing shoulder to shoulder, teamed with",,,
,`allocate,vb,"set aside, to deal out, earmark, give out, dole out, mete out, share, share out",,,
,`allotment,n,"cut, deal, lot, share, share-out",,,
,`allowance,n,"lot, meed, share, share-out, keep, upkeep",,,
,`allude,vb,"hint at, drop a hint, throw out a hint, breathe of, leave one to gather, let fall, mean more than one says, play with words, say by the way, speak aside",,,
,`alluring,adj,"winning, bewitching, 'come hither', fetching, spell-binding",,,
,`allusion,n,"nod, aside, hint, word-play",,,
,`ally,n,"friend, friend in need, backer, henchman, right-hand man",,,
,`ally,vb,"to team up with, do/strike/make a deal, stand shoulder to shoulder",,,
,`alphabetically,adv,by name,,,
,`already,adv,"already, from the beginning, from the get-go, from the outset, from the word go, out of the gate",,,
,`alter,vb,,,[S] change,
,`alteration,n,,,[S] change,
,`altercation,n,"fight, getup, row",,,"MERGE WITH COMBAT, FIGHT?"
,`altered,adj,,,[S] changed,
,`alternative,n,"fallback, backup",,[S] substitute,
,`amalgamate,vb,"mix, blend, to bind/grow/put/tie/weave together, team up with",,,
,`amalgamation,n,"mix, blend, mishmash, coming together",,[S] union,
,`amateur,adj,"1) lay, 2) badly done, half-baked, half-done",,,
,`amateur,n,"1) the lover/follower of a craft, game of work, who finds his/her meed (reward) in the doing thereof, and not in payment, 2) beginner, butter-fingers, clodhopper, fish out of water, greenhorn, learner, self-taught man/woman, oaf",,,
,`ambassador,n,spokesman/spokeswoman,,,
,`ambiguity,n,"deep word/saying, hard/knotted saying, riddle, two-edged saying",,,FIX
,`ambiguous,adj,"knotted, backhanded, dark, deep, two-edged, two-sided, open-ended",,[S] vague,
,`ambition,n,"drive, go-getting, seeking, dream, goal, eagerness",,,
,`ambitious,adj,"driven, go-getter, bent upon, set upon, up-and-coming, eager, would-be, go-ahead, grasping, keen, seeking",,,
,`ambush,vb,"fall upon, set a trap, swoop upon, take unawares, waylay",lie in wait,,
,`amendment,n,"righting, making/putting/setting right, shaping or writing anew, straightening, undoing and doing again, word-crafting",,,
,`ample,adj,"overflowing, ever so many, ever so much, full, rich, teeming, weight",,,MERGE WITH ABUNDANT?
,`amply,adv,,,[S] generously,
,`amuse,vb,make smn laugh,,,
,`amusement,n,"1) gladdening, laughter, mirth, 2) game, play",,,
,`amusing,adj,"fun, funny, lively, merry, playful, rich, witty",,[S] hilarious,
,`analysis,n,"breakdown, sifting, delving, going-over, going through, winnowing",,,
,`analyze,vb,"delve into, break down, go over, sift, unpack, unpick, comb through, seek out, sift through, rake through, root through, pore, pore over, read through, pick over",,,
,`anarchy,n,lawlessness,,,
,`ancestor,n,"forebear, forefather, forerunner",,,
,`ancient,adj,"old, old-time, olden, of old, or yore, old as time, timeworn, old-world, old-timey, far-off",,[S] old-fashioned,
,`anger,n,"anger, wrath, bitterness, hard feelings, high words, soreness, wrathfulness, angriness",,,
,`angle,n,"1) bend, elbow, hook, horn 2) mind, outlook, stand, way of looking at things, way of thinking",,,"MERGE WITH IDEOLOGY, OUTLOOK, MINDSET?"
,`angry,adj,"angry, upset, wrathful, seething, wroth, burning, heated, hopping mad, beside oneself, broken up about something, have it in for (smn)",,,
,`anguish,n,"sorrow, heartache, bitterness, broken-heartedness, wretchedness",,,
,`animal,n,"living being, living thing",,,
,`animated,adj,"aglow, glowing, afire, alive, lively, on fire, quickened, sparkling",,,MERGE
,`animosity,n,"hatred, loathing, misliking, spurning",,,MERGE
,`annihilate,vb,"to bring to naught, do away with, lay in the dust, overcome, quench, root up, stamp out, tear down, undo, unmake, wipe out",,,CHANGE ORDER
,`annoy,vb,"upset, anger, make angry, bug, get to smn, madden, get under one's skin, goad, harry, hound, needle, put out, tease, unsettle",,,PUT TOGETHER
,`annoying,adj,"irksome, bothersome, wearisome, maddening, teasing, tiresome",,,
,`annual,adj,yearly,,,
,`anonymous,adj,"unnamed, nameless",,,
,`antagonism,n,"hatred, bitterness, loathing, misliking, shunning, spurning",,,
,`antagonize,vb,"to drive a wedge between, make foes, stir hatred/loathing, sunder",,,
,`anticipate,vb,[D1|to believe in the future occurrence of something] [D2|to realize or know about beforehand],await,"[S|D1] expect, beware
[S|D2] predict",MAKE NEW ENTRY FOR ANTICIPATE AND AWAIT?
,`anticipation,n,"foresight, forethought, looking forward, readiness for",,,
,`antipathy,n,"hatred, coldness, loathing",,,
,`anxiety,n,"burden, worry, weight on one's mind",,,
,`anxious,adj,"1) fearful, dreading, in dread, harrowed, ovre-heedful, over-wrought, worried, 2) harrowing, worrisome, worrying, 3) earnestly/strongly wishing, longing/yearning to see something done",,,
,`apologize,vb,"be sorry, say sorry, ask for (smn's) forgiveness",,,
,`appalled,adj,"shaken, aghast, struck dumb, thunderstruck",,,
,`appalling,adj,"dreadful, frightening, frightful, ghastly, grim, harrowing, nightmarish",,,
,`apparatus,n,"tools, set up, works",,,
,`apparent,adj,"outward, on the outside",,[S] obvious,
,`apparently,adv,"as far as smn can tell, it looks like, it seems, seemingly, so they say, at first sight, outwardly, to the eye, belike, on the outside",,,"SIMILAR TO INITIALLY, WORDS FIT WITH APPARENTLY INTERJ"
,`apparently,interj,"looks/seems that way, that's what it looks like, it looks like, it seems like",,,
,`appeal,n,"1) asking, beseeching, bidding, 2) draw, pull",,,
,`appeal,vb,"to ask earnestly, beseech, beset, crave, make bold to ask, seek, sigh for",,,
,`appearance,n,"likeness            1) bearing, cut, look(s), look of things, shape, 2) arising, becoming, shadowing forth, showing, sight, unfolding",trappings,,PUT TOGETHER
,`applaud,vb,"clap, give it up for smn",,,
,`application,n,"1) bid, asking, seeking, 2) bearing, insight, meaning, reading (as in taking what is written in a book and showing its bearing on life), 3) steadfastness, doggedness, hard work, tirelessness, wholeheartedness",,,
,`appoint,vb,"to choose, hire, mark out, name, pick out, put forward, put in one's hands, set, settle, swear one in",,,
,`appointment,n,"1) choosing, naming, 2) livelihood, walk of life, work, 3) meeting, undertaking",,,
,`appreciate,vb,"1) to think highly of, think much of, think well of, know the worth of, 2) understand, to be aware of, be alive to, grasp, know, know well, 3) to be thankful, give thanks, acknowledge, 4) to go up, grow (in dearness), climb, swell wax",,,
,`appreciation,n,"1) liking, 2) awareness, insight, knowledge, mindfulness, understanding, 3) thanks, hearty thanks, thankfulness, 4) growth, rise, 5) weighing the worth of a written work",,,
,`apprehension,n,"worry, cold feet, dread, fear, misgivings",,[S] doubt,
,`approach,n,"1) coming, coming towards, drawing near, nearing, onset, 2) way of doing things, way through, way to, path, pathway, 3) bid, feeler, offer",,,
,`approaching,adj,"full-nigh, more or less, give or take, nearly, not far off, roughly well-nigh",,,
,`appropriate,adj,"fitting, answering to, aright, bearing upon, becoming, belonging, cut out for, in keeping right, straight",,,
,`approval,n,"nod, backing, blessing, the go-ahead, welcome, green light, liking",,,
,`approve,vb,"to acknowledge, be willing, settle on, bless, give leave, give one's blessing, give the go-ahead/green light, go along with",,,
,`approved,adj,"acknowledged, settled",,,
,`approximate,adj,"near, near enough, rough",,[S] virtually,
,`approximately,adv,"about, like, more or less, much, near, roughly, say, some, kind of, loosely, nearly, somewhere about, give or take, almost","around, close to, somewhere around",,
,`aptitude,n,"bent, deftness, leaning, quickness, readiness",,,MERGE
,`arbitrarily,adv,"on a whim, willy-nilly, on the spot, on a lark, off-the-cuff",just like that,[S] spontaneously,
,`arbitrary,adj,"1) wilful, a law to oneself, 2) overbearing, high-handed",,,
,`arc,n,"bend, bow",,,
,`archery,n,bowmanship,,,
,`ardent,adj,"afire, burning, hot-blooded, red-hot, strong, warm",,,
,`ardour,n,"longing, fire, hunger, thirst, warmth, yearning",,,
,`arduous,adj,"back-breaking, hard, tiring, tough, wearing, wearying",,,
,`argue,vb,"1) to gainsay, speak against, speak out, speak up, to fall out, fight, 2) to hold, put forth/forward, talk through, thrash out",,,
,`argument,n,"1) words, high words, stormy words, fight, row, tussle, bone to pick, 2) talking over, talking through, thrashing out, weighting the fors and against",fray,,FIND DEFS
,`arid,adj,"1) dry, droughty, dusty, grassless, rainless, sere, waterless, withered, 2) (of some learning) drearisome, dreary, heavy, overlong, wearisome, dry as dust",,,
,`arm,vb,give (out) weapons (to),,,
,`arms,n,weapons,,,
,`army,n,"1) fighting body, 2) drove, sea of, swarm, throng, wealth of, world of",,,
,`arouse,vb,"hearten, awaken, spark, stir up, breathe new life into, quicken, spur",,,
,`arrange,vb,"to ready, settle, make ready, lay out, put into shape, set out, straighten out",,,
,`arrangement,n,"1) draft, framework, layout, 2) deal, understanding, undertaking, 3) (of music) song-crafting",,,
,`array,vb,"to lay out, set out",,,
,`arrest,vb,"1) to hold, lay by the heels, lay hands on, pick up, 2) to stop, end, hinder, 3) to grip or hold the mind, spellbind",,,
,`arrest,n,"binding, holding, keeping, taking, taking hold, warding",,,
,`arresting,adj,"amazing, eye-opening, gripping, striking, telling",,,
,`arrival,n,"coming, reaching",,,
,`arrive,vb,"to be on the doorstep, come to, draw near, reach, fetch up at",,,
,`arrogant,adj,"headstrong, high-handed, high and mighty, overweening, pig-headed",,,
,`arsenal,n,weapons,,,
,`artery,n,"1) life-blood leat, 2) highway, key road, through road, through way",,,
,`artful,adj,crafty,,,MERGE?
,`articulate,vb,"[D1|to utter clearly and distinctly] say, speak, talk, tell, utter, speak out, speak up [D2|to convey in appropriate or telling terms] clothe, put, say, word, craft, frame, hint, speak, talk, tell, utter, write up [D3|to express (a thought or emotion) in words] put into words, bring out, say, speak, talk, tell, utter, give share",,,
,`artist,n,"craftsman, craftswoman",,,
,`artistic,adj,"deft, craftly, cleaver-handed, rich in thought/deed, insightful",,,
,`artistry,n,"craft, craftsmanship, deftness",,,
,`as expected,phr,,,[S] expectedly,
,"`as usual, `as per usual",adv,"as always, as ever, as smn always does",,,
,`ascend,vb,"to climb, go up",,,
,`ascertain,vb,"learn, to find out",,,
,`aspect,n,"bearing, look, outlook",,,
,`aspire,vb,"hope to/for, wish to/for, yearn to/for, look to, seek to/for, want (to), work toward, dream of, thirst for/after, long for, set one's heart/mind on, list",,,
,`aspiring,adj,,,[S] ambitious,
,`assassin,n,"killer, murderer, slaughterer, manslaughterer, gunman",,,
,`assassinate,vb,,,[S] kill,
,`assault,vb,"to fall upon, lay into, set upon, storm, strike at",,,MERGE WITH ATTACK?
,`assemble,vb,"put together, gather, get together, meet, hook up             1) to gather, foregather, bring together, come together, draw together, gather together, meet, hold a meeting, 2) to build up, put together, set together",,,
,`assembly,n,"1) body, cluster, gathering, house, meeting, throng, 2) building up, putting together, setting up, 3) law-body, house of law-making, steering body",,,
,`assent,vb,"to acknowledge, yield, fall in with, go along with, say yes to, settle on",,,MERGE
,`assertive,adj,"bold, dreadless, fearless, forthright, forward, strong-minded",,,MERGE
,`assess,vb,"make of sth/smn, eye up, eye, reckon up, give sth a look, weigh, weight up, weigh out, work out, take stock",,[S] interpret,
,`assessment,n,"reckoning, reading, weighing up",,,
,`asset,n,"wealth, something in hand",,,
,`assist,vb,,,[S] help,
,`assistance,n,,,[S] help,
,`assistant,n,"helper, backer, friend",,,
,`associate,vb,"1) to belong, go hand in hand, to go/pull/work together, put one's name down, team up with, 2) to be friends, befriend, be seen with, hold together, mingle, stick together, 3) to bind, think of together, tie, yoke",,,
,`association,n,"1) body, cluster, gathering, set, forgathering, 2) club, brotherhood, coming together, friendship, sharing, togetherness",,,
,`assuage,vb,"1) to lessen, soothe, allay, deaden, lighten, quench, slake, smooth over, soften, still, take the string out of, unburden",,,
,`assumption,n,"1) belief, 2) taking on, taking up, 3) taking, takeover, wresting",,,
,`assurance,n,"1) plight, plighted word, undertaking, 2) brazenness, overstepping, 3) (in insurance) underwriting",,,
,`astonish,vb,,,[S] surprise,
,`astonishing,adj,,,[S] surprising,
,`astounding,adj,"amazing, bewildering, beyond belief, overwhelming",,,
,`astronomy,n,"starcraft, starlore, star-watching",,,
,`astute,adj,"bright, clever, insightful, keen-witted, quick, sharp, shrewd",,,
,`at risk,prep phr,,,[S] in danger,
,`atheist,n,unbeliever,non-believer,,
,`atmosphere,n,"1) the draughts and wind-streams infolding and shielding a heavenly body, hence 'draught-shield', 2) background, feel, feeling, infolding, mood, setting",,,FIX
,`atom,n,"1) that which may not be put in sunder/put in two, 2) bit, crumb, dot, drop, mite, mote, seed, shred, speck, whit",,,FIX
,`attach,vb,"1) to fasten, stick/tie on, 2) to lay at the door of, put down to, set down to",,,
,`attached,adj,"1) doting, liking, loving, smitten, sweet on, 2) betrothed, chosen, spoken for",,,
,`attack,vb,"raid, strike, jump (on), beset, storm, lash out, hit out at                            1) to fall upon, bear down on, beset, set upon, storm, strike at, 2) to smear, blacken, run down, 3) to lay on a bed of sickness, strike down with sickness",,,PUT TOGETHER
,`attack,n,"raid, strike, onslaught, blitz                   1) onset, 2) smearing, backbiting, blackening, 3) sickness, sick-bed, outbreak, stroke",,,PUT TOGETHER
,`attain,vb,"1) to gather, get hold of, get in one's hand, come by, earn, fulfil, grasp, land, make one's own, net, reap, win, 2) to fetch up at, get there, reach one's goal",,,
,`attend,vb,"1) to be at, be here, be there, come to, go to, look in on, 2) to heed, 3) to be found with, follow after, follow in the wake of, flutter about one, go with, keep with, shadow, walk with",,,
,`attentive,adj,"1) all ears, all eyes, awake, careful, heedful, 2) listful, mindful",,,
,`attic,n,"loft, roof room",,,
,`attitude,n,"1) belief, feeling, mind, mood, outlook stand, thinking, thought, way of thinking, way of thought, what one thinks, 2) bearing, look, look in one's eyes, way",,,
,`attract,vb,"1) draw, draw in, pull, 2) bewitch, take someone's eye, win over",,,
,`attracted,adj,"drawn to, fond of",,,
,`attractive,adj,"bewitching, comely, fetching, lovely, winning, winsome",,,
,`audacious,adj,"bold, daring, daring-hearted, dreadless, fearless, hot-blooded",,,
,`audible,adj,"within earshot, can be heard, loud enough",,,
,`augment,vb,"strengthen, build up, heap on, lay on, swell",,,
,`august,adj,,,[S] distinguished,
,`austerity,n,"carefulness, forholding, giving up, hardness, holding back, withholding, spareness, starkness",,,
,`authentic,adj,"true, well-grounded, true-bred, true to life, first hand, true as steel",,,
,`author,vb,"1) to write, write about, write fair, bring to life, set down, tell, 2) to bring about, be/lie at the bottom of, draw out, make, set afoot, shape, sow, spark off",,,
,`author,n,"1) writer, bookwright, playwright, wordsmith, 2) doer, framer, maker",,,
,`authoritarian,adj,"overbearing, above oneself, high-handed, hard on, self-willed",,,
,`authoritative,adj,"1) more than a match for, overbearing, overweening, strong-willed, 2) first-hand, key, learned, weighty, well-grounded",,,
,`authority,n,"1) leadership, headship, lordship, arm of the law, 2) eye witness, one in the know, wise man, 3) blessing, freedom, free hand, go-ahead, green light, leave, right, say-so, writ",,"[S] control, power",
,`authorize,vb,"let, greenlight, give the green light for, give one's blessing, open the door/way",,,
,`autodidact,n,self-taught,,,
,`automatic,adj,"1) blind, unthinking, unwilled, 2) self-starting, self-doing",,,
,`automatically,adv,"1) blindly, unthinkingly, without thinking, willy-nilly, 2) of itself",,,
,`autumn,n,fall,,,
,`availability,n,"1) handiness, nearness, readiness, 2) friendliness",,,
,`avaricious,adj,"grasping, greedy, griping, mean, mean-minded, selfish",,,
,`avenge,vb,"get back at smn, come back at, get even (with), bite back, stick it to smn",pay back for,,
,`avenue,n,"1) drive, path, pathway, road, walk, way, 2) a way forward, opening, path ahead",,,
,`average,adj,"[D1|of average to below average quality] middling, fair, middle-of-the-road, not bad, so-so [D2|being about midway between extremes] mid, middle, middlemost, midmost, mid-way, half way",okay,[S] mediocre,
,`averse,adj,"loath, dragging heels, half-hearted, shrinking back, unminded, unwilling",,,
,`award,n,"1) meed, 2) (in law) deeming, finding",,,
,`award,vb,"1) to acknowledge, bestow, give, hand out, thank, 2) (in law) to deem, find for, settle",,,
,`awe,n,"dread, fear, wonder",,,GERMANIC
,`awe-struck,adj,"awe-struck, amazed, fearful, frightened, wonderstruck",,,GERMANIC
,`awesome,adj,"awesome, amazing, dreadful, fearful, fearsome, frightening, overwhelming, striking, wonderful",,,GERMANIC
,`awful,adj,"1) bad, dreadful, foul, frightful, ghastly, harrowing, loathsome, sickening, stinking, 2) sick, unhealthy, unsightly, unwell, under the weather",,,GERMANIC
,`awkward,adj,"awkward, clod-hopping, heavy-footed, slow-stiff, uncouth, unhandy, unwieldy",,,GERMANIC
,`axiomatic,adj,of that which goes without saying,,,
,`axis,n,"ax-tree, pintle, shaft, spindle, swivel",,,
,`baby,n,"bairn, little child, little one, newborn child, suckling",,,
,`backtrack,vb,"to draw back, go back, back out, withdraw",,,MERGE WITH RENEGE?
,`bad-tempered,adj,"bearish, churlish, fiery, prickly, unfriendly, vixenish, like a bear with a sore head",,,
,`badger,vb,"to goad, harry, harrow, hound, worry",,,
,`baffle,vb,"1) to bewilder, throw one out, 2) to hinder, bring to a stand, overcome",,,
,`bag,n,"bag, pack",,,
